state	power	likelihood
12600	1	-240.165
12700	1	-240.829
12800	1	-242.207
12900	1	-241.724
13000	1	-239.033
13100	1	-246.067
13200	1	-237.77
13300	1	-241.902
13400	1	-243.622
13500	1	-238.801
13600	1	-238.946
13700	1	-242.07
13800	1	-239.529
13900	1	-238.993
14000	1	-237.099
14100	1	-241.064
14200	1	-240.064
14300	1	-240.402
14400	1	-243.539
14500	1	-241.414
14600	1	-239.471
14700	1	-242.824
14800	1	-239.194
14900	1	-238.054
15000	1	-241.603
15100	1	-240.865
15200	1	-237.509
15300	1	-242.409
15400	1	-243.731
15500	1	-238.781
15600	1	-237.658
15700	1	-239.225
15800	1	-235.766
15900	1	-237.512
16000	1	-243.244
16100	1	-239.211
16200	1	-241.546
16300	1	-238.997
16400	1	-241.2
16500	1	-248.179
16600	1	-242.169
16700	1	-244.621
16800	1	-240.35
16900	1	-242.337
17000	1	-241.73
17100	1	-241.646
17200	1	-239.513
17300	1	-241.733
17400	1	-241.141
17500	1	-240.51
17600	1	-239.662
17700	1	-242.077
17800	1	-241.273
17900	1	-238.614
18000	1	-239.495
18100	1	-240
18200	1	-241.717
18300	1	-238.338
18400	1	-242.655
18500	1	-236.093
18600	1	-240.485
18700	1	-241.884
18800	1	-243.917
18900	1	-238.011
19000	1	-241.114
19100	1	-237.493
19200	1	-238.527
19300	1	-240.479
19400	1	-240.551
19500	1	-242.532
19600	1	-241.459
19700	1	-242.081
19800	1	-243.566
19900	1	-242.409
20000	1	-241.679
20100	1	-239.879
20200	1	-240.654
20300	1	-241.547
20400	1	-236.404
20500	1	-240.286
20600	1	-242.346
20700	1	-241.481
20800	1	-242.102
20900	1	-237.957
21000	1	-240.453
21100	1	-240.314
21200	1	-243.317
21300	1	-244.57
21400	1	-236.957
21500	1	-240.609
21600	1	-244.976
21700	1	-239.41
21800	1	-241.407
21900	1	-247.634
22000	1	-239.271
22100	1	-239.914
22200	1	-244.229
22300	1	-241.13
22400	1	-242.532
22500	1	-240.686
22600	1	-238.968
22700	1	-241.729
22800	1	-238.753
22900	1	-240.42
23000	1	-238.797
23100	1	-239.365
23200	1	-242.113
23300	1	-240.711
23400	1	-244.231
23500	1	-243.465
23600	1	-242.359
23700	1	-242.563
23800	1	-239.238
23900	1	-241.22
24000	1	-242.903
24100	1	-243.296
24200	1	-244.003
24300	1	-238.766
24400	1	-240.409
24500	1	-239.605
24600	1	-242.597
24700	1	-238.121
24800	1	-242.284
24900	1	-238.175
25000	1	-244.695
25100	1	-237.665
25200	1	-242.647
25300	1	-236.962
25400	1	-240.837
25500	1	-239.572
25600	1	-241.813
25700	1	-241.634
25800	1	-240.414
25900	1	-237.447
26000	1	-243.437
26100	1	-245.641
26200	1	-242.742
26300	1	-242.787
26400	1	-242.056
26500	1	-240.909
26600	1	-247.051
26700	1	-240.073
26800	1	-241.795
26900	1	-242.319
27000	1	-241.17
27100	1	-238.948
27200	1	-242.886
27300	1	-237.544
27400	1	-240.124
27500	1	-241.353
27600	1	-238.563
27700	1	-239.669
27800	1	-244.811
27900	1	-237.32
28000	1	-239.782
28100	1	-241.006
28200	1	-239.618
28300	1	-243.675
28400	1	-240.175
28500	1	-238.38
28600	1	-241.341
28700	1	-240.114
28800	1	-239.841
28900	1	-242.463
29000	1	-238.698
29100	1	-240.522
29200	1	-241.166
29300	1	-241.645
29400	1	-239.158
29500	1	-243.36
29600	1	-235.539
29700	1	-242.953
29800	1	-241.395
29900	1	-240.076
30000	1	-240.249
30100	1	-245.1
30200	1	-242.818
30300	1	-239.308
30400	1	-240.016
30500	1	-242.494
30600	1	-241.856
30700	1	-241.556
30800	1	-241.258
30900	1	-238.963
31000	1	-241.531
31100	1	-239.976
31200	1	-240.565
31300	1	-245.394
31400	1	-239.101
31500	1	-240.596
31600	1	-241.662
31700	1	-241.413
31800	1	-246.224
31900	1	-240.331
32000	1	-244.397
32100	1	-239.035
32200	1	-237.749
32300	1	-239.169
32400	1	-241.027
32500	1	-240.211
32600	1	-238.674
32700	1	-240.626
32800	1	-241.841
32900	1	-237.278
33000	1	-241.589
33100	1	-246.494
33200	1	-243.516
33300	1	-239.219
33400	1	-239.76
33500	1	-239.237
33600	1	-241.286
33700	1	-242.238
33800	1	-239.799
33900	1	-242.155
34000	1	-243.087
34100	1	-239.625
34200	1	-237.85
34300	1	-240.377
34400	1	-235.99
34500	1	-240.001
34600	1	-242.754
34700	1	-241.44
34800	1	-240.569
34900	1	-238.641
35000	1	-238.958
35100	1	-239.109
35200	1	-242.225
35300	1	-240.265
35400	1	-239.275
35500	1	-243.167
35600	1	-240.545
35700	1	-236.769
35800	1	-244.403
35900	1	-240.183
36000	1	-238.529
36100	1	-243.081
36200	1	-237.704
36300	1	-240.036
36400	1	-239.906
36500	1	-238.929
36600	1	-237.403
36700	1	-243.398
36800	1	-242.975
36900	1	-248.766
37000	1	-240.293
37100	1	-240.542
37200	1	-240.675
37300	1	-241.02
37400	1	-239.433
37500	1	-240.721
37600	1	-241.575
37700	1	-238.991
37800	1	-241.563
37900	1	-239.394
38000	1	-239.004
38100	1	-238.984
38200	1	-241.075
38300	1	-242.987
38400	1	-237.804
38500	1	-240.204
38600	1	-239.275
38700	1	-241.474
38800	1	-240.731
38900	1	-237.171
39000	1	-240.372
39100	1	-240.5
39200	1	-238.78
39300	1	-241.552
39400	1	-242.501
39500	1	-240.316
39600	1	-240.596
39700	1	-242.682
39800	1	-243.855
39900	1	-239.913
40000	1	-240.333
40100	1	-239.505
40200	1	-245.397
40300	1	-243.888
40400	1	-240.561
40500	1	-238.623
40600	1	-241.475
40700	1	-242.85
40800	1	-246.541
40900	1	-237.474
41000	1	-242.849
41100	1	-238.179
41200	1	-240.053
41300	1	-236.959
41400	1	-239.1
41500	1	-237.402
41600	1	-237.695
41700	1	-239.47
41800	1	-242.512
41900	1	-242.199
42000	1	-240.484
